Category: All categories

Week,icecream: (United States)
2013-10-20,35
2013-10-27,30
2013-11-03,30
2013-11-10,30
2013-11-17,33
2013-11-24,33
2013-12-01,28
2013-12-08,30
2013-12-15,29
2013-12-22,28
2013-12-29,31
2014-01-05,35
2014-01-12,34
2014-01-19,31
2014-01-26,38
2014-02-02,37
2014-02-09,35
2014-02-16,34
2014-02-23,38
2014-03-02,41
2014-03-09,41
2014-03-16,43
2014-03-23,42
2014-03-30,46
2014-04-06,47
2014-04-13,47
2014-04-20,42
2014-04-27,46
2014-05-04,48
2014-05-11,53
2014-05-18,54
2014-05-25,61
2014-06-01,53
2014-06-08,56
2014-06-15,60
2014-06-22,55
2014-06-29,63
2014-07-06,62
2014-07-13,61
2014-07-20,69
2014-07-27,59
2014-08-03,51
2014-08-10,47
2014-08-17,48
2014-08-24,43
2014-08-31,41
2014-09-07,37
2014-09-14,37
2014-09-21,36
2014-09-28,37
2014-10-05,36
2014-10-12,36
2014-10-19,36
2014-10-26,31
2014-11-02,31
2014-11-09,30
2014-11-16,33
2014-11-23,34
2014-11-30,28
2014-12-07,32
2014-12-14,34
2014-12-21,34
2014-12-28,37
2015-01-04,32
2015-01-11,36
2015-01-18,38
2015-01-25,39
2015-02-01,36
2015-02-08,37
2015-02-15,36
2015-02-22,39
2015-03-01,43
2015-03-08,47
2015-03-15,55
2015-03-22,46
2015-03-29,50
2015-04-05,52
2015-04-12,55
2015-04-19,62
2015-04-26,58
2015-05-03,56
2015-05-10,57
2015-05-17,57
2015-05-24,63
2015-05-31,59
2015-06-07,64
2015-06-14,59
2015-06-21,62
2015-06-28,64
2015-07-05,63
2015-07-12,66
2015-07-19,84
2015-07-26,62
2015-08-02,57
2015-08-09,56
2015-08-16,54
2015-08-23,51
2015-08-30,50
2015-09-06,51
2015-09-13,45
2015-09-20,45
2015-09-27,40
2015-10-04,42
2015-10-11,42
2015-10-18,40
2015-10-25,36
2015-11-01,38
2015-11-08,41
2015-11-15,45
2015-11-22,43
2015-11-29,37
2015-12-06,40
2015-12-13,42
2015-12-20,39
2015-12-27,40
2016-01-03,40
2016-01-10,42
2016-01-17,47
2016-01-24,46
2016-01-31,47
2016-02-07,45
2016-02-14,44
2016-02-21,45
2016-02-28,48
2016-03-06,50
2016-03-13,55
2016-03-20,53
2016-03-27,50
2016-04-03,50
2016-04-10,56
2016-04-17,62
2016-04-24,56
2016-05-01,57
2016-05-08,58
2016-05-15,66
2016-05-22,69
2016-05-29,77
2016-06-05,70
2016-06-12,70
2016-06-19,77
2016-06-26,74
2016-07-03,75
2016-07-10,75
2016-07-17,90
2016-07-24,69
2016-07-31,68
2016-08-07,61
2016-08-14,62
2016-08-21,52
2016-08-28,54
2016-09-04,57
2016-09-11,47
2016-09-18,47
2016-09-25,43
2016-10-02,45
2016-10-09,44
2016-10-16,42
2016-10-23,42
2016-10-30,39
2016-11-06,39
2016-11-13,41
2016-11-20,40
2016-11-27,38
2016-12-04,39
2016-12-11,38
2016-12-18,41
2016-12-25,38
2017-01-01,39
2017-01-08,41
2017-01-15,45
2017-01-22,45
2017-01-29,49
2017-02-05,47
2017-02-12,46
2017-02-19,51
2017-02-26,52
2017-03-05,54
2017-03-12,53
2017-03-19,62
2017-03-26,56
2017-04-02,60
2017-04-09,64
2017-04-16,57
2017-04-23,66
2017-04-30,66
2017-05-07,71
2017-05-14,73
2017-05-21,72
2017-05-28,76
2017-06-04,69
2017-06-11,77
2017-06-18,80
2017-06-25,77
2017-07-02,94
2017-07-09,84
2017-07-16,100
2017-07-23,76
2017-07-30,74
2017-08-06,69
2017-08-13,60
2017-08-20,55
2017-08-27,57
2017-09-03,53
2017-09-10,51
2017-09-17,49
2017-09-24,49
2017-10-01,44
2017-10-08,46
2017-10-15,46
2017-10-22,41
2017-10-29,37
2017-11-05,44
2017-11-12,42
2017-11-19,44
2017-11-26,39
2017-12-03,37
2017-12-10,40
2017-12-17,42
2017-12-24,39
2017-12-31,39
2018-01-07,41
2018-01-14,43
2018-01-21,44
2018-01-28,46
2018-02-04,43
2018-02-11,43
2018-02-18,45
2018-02-25,47
2018-03-04,51
2018-03-11,55
2018-03-18,61
2018-03-25,56
2018-04-01,53
2018-04-08,57
2018-04-15,61
2018-04-22,60
2018-04-29,67
2018-05-06,67
2018-05-13,67
2018-05-20,80
2018-05-27,80
2018-06-03,74
2018-06-10,74
2018-06-17,76
2018-06-24,73
2018-07-01,91
2018-07-08,77
2018-07-15,93
2018-07-22,75
2018-07-29,71
2018-08-05,68
2018-08-12,62
2018-08-19,54
2018-08-26,56
2018-09-02,56
2018-09-09,44
2018-09-16,51
2018-09-23,43
2018-09-30,43
2018-10-07,41
2018-10-14,53
