Category: All categories

Day,taxa: (Denmark)
2018-07-16,32
2018-07-17,27
2018-07-18,27
2018-07-19,42
2018-07-20,52
2018-07-21,100
2018-07-22,46
2018-07-23,28
2018-07-24,28
2018-07-25,31
2018-07-26,32
2018-07-27,48
2018-07-28,62
2018-07-29,46
2018-07-30,34
2018-07-31,34
2018-08-01,39
2018-08-02,44
2018-08-03,51
2018-08-04,80
2018-08-05,44
2018-08-06,31
2018-08-07,36
2018-08-08,34
2018-08-09,47
2018-08-10,43
2018-08-11,92
2018-08-12,51
2018-08-13,33
2018-08-14,26
2018-08-15,25
2018-08-16,33
2018-08-17,44
2018-08-18,97
2018-08-19,68
2018-08-20,30
2018-08-21,29
2018-08-22,26
2018-08-23,30
2018-08-24,51
2018-08-25,91
2018-08-26,60
2018-08-27,29
2018-08-28,30
2018-08-29,26
2018-08-30,35
2018-08-31,56
2018-09-01,97
2018-09-02,61
2018-09-03,32
2018-09-04,19
2018-09-05,31
2018-09-06,38
2018-09-07,57
2018-09-08,75
2018-09-09,55
2018-09-10,28
2018-09-11,31
2018-09-12,35
2018-09-13,32
2018-09-14,35
2018-09-15,87
2018-09-16,50
2018-09-17,26
2018-09-18,25
2018-09-19,27
2018-09-20,25
2018-09-21,50
2018-09-22,84
2018-09-23,35
2018-09-24,30
2018-09-25,34
2018-09-26,34
2018-09-27,31
2018-09-28,82
2018-09-29,77
2018-09-30,51
2018-10-01,33
2018-10-02,32
2018-10-03,30
2018-10-04,36
2018-10-05,58
2018-10-06,82
2018-10-07,50
2018-10-08,29
2018-10-09,26
2018-10-10,31
2018-10-11,32
2018-10-12,54
2018-10-13,57
2018-10-14,40
