Category: All categories

Week,Artificial intelligence: (United States)
2013-10-20,22
2013-10-27,21
2013-11-03,22
2013-11-10,22
2013-11-17,22
2013-11-24,19
2013-12-01,21
2013-12-08,21
2013-12-15,22
2013-12-22,21
2013-12-29,21
2014-01-05,22
2014-01-12,23
2014-01-19,23
2014-01-26,26
2014-02-02,23
2014-02-09,22
2014-02-16,25
2014-02-23,23
2014-03-02,24
2014-03-09,21
2014-03-16,24
2014-03-23,23
2014-03-30,23
2014-04-06,25
2014-04-13,24
2014-04-20,24
2014-04-27,24
2014-05-04,25
2014-05-11,24
2014-05-18,22
2014-05-25,23
2014-06-01,20
2014-06-08,23
2014-06-15,22
2014-06-22,21
2014-06-29,22
2014-07-06,22
2014-07-13,21
2014-07-20,23
2014-07-27,23
2014-08-03,25
2014-08-10,26
2014-08-17,23
2014-08-24,23
2014-08-31,24
2014-09-07,24
2014-09-14,24
2014-09-21,23
2014-09-28,24
2014-10-05,23
2014-10-12,23
2014-10-19,25
2014-10-26,30
2014-11-02,25
2014-11-09,26
2014-11-16,24
2014-11-23,24
2014-11-30,32
2014-12-07,27
2014-12-14,24
2014-12-21,23
2014-12-28,22
2015-01-04,26
2015-01-11,31
2015-01-18,29
2015-01-25,30
2015-02-01,28
2015-02-08,27
2015-02-15,25
2015-02-22,27
2015-03-01,27
2015-03-08,27
2015-03-15,28
2015-03-22,27
2015-03-29,27
2015-04-05,26
2015-04-12,27
2015-04-19,27
2015-04-26,29
2015-05-03,31
2015-05-10,32
2015-05-17,30
2015-05-24,29
2015-05-31,28
2015-06-07,27
2015-06-14,26
2015-06-21,28
2015-06-28,36
2015-07-05,36
2015-07-12,33
2015-07-19,32
2015-07-26,34
2015-08-02,29
2015-08-09,30
2015-08-16,25
2015-08-23,27
2015-08-30,29
2015-09-06,31
2015-09-13,32
2015-09-20,29
2015-09-27,30
2015-10-04,28
2015-10-11,30
2015-10-18,28
2015-10-25,31
2015-11-01,30
2015-11-08,29
2015-11-15,31
2015-11-22,27
2015-11-29,30
2015-12-06,31
2015-12-13,29
2015-12-20,27
2015-12-27,26
2016-01-03,34
2016-01-10,29
2016-01-17,30
2016-01-24,33
2016-01-31,30
2016-02-07,30
2016-02-14,30
2016-02-21,31
2016-02-28,30
2016-03-06,34
2016-03-13,36
2016-03-20,72
2016-03-27,51
2016-04-03,36
2016-04-10,36
2016-04-17,34
2016-04-24,36
2016-05-01,33
2016-05-08,34
2016-05-15,33
2016-05-22,31
2016-05-29,39
2016-06-05,40
2016-06-12,35
2016-06-19,34
2016-06-26,32
2016-07-03,29
2016-07-10,29
2016-07-17,27
2016-07-24,28
2016-07-31,27
2016-08-07,26
2016-08-14,26
2016-08-21,28
2016-08-28,29
2016-09-04,31
2016-09-11,31
2016-09-18,31
2016-09-25,36
2016-10-02,35
2016-10-09,47
2016-10-16,41
2016-10-23,43
2016-10-30,43
2016-11-06,36
2016-11-13,46
2016-11-20,42
2016-11-27,46
2016-12-04,45
2016-12-11,45
2016-12-18,46
2016-12-25,38
2017-01-01,42
2017-01-08,43
2017-01-15,41
2017-01-22,41
2017-01-29,43
2017-02-05,45
2017-02-12,47
2017-02-19,45
2017-02-26,47
2017-03-05,48
2017-03-12,46
2017-03-19,47
2017-03-26,55
2017-04-02,47
2017-04-09,49
2017-04-16,50
2017-04-23,52
2017-04-30,54
2017-05-07,49
2017-05-14,54
2017-05-21,50
2017-05-28,48
2017-06-04,45
2017-06-11,45
2017-06-18,47
2017-06-25,52
2017-07-02,47
2017-07-09,49
2017-07-16,57
2017-07-23,57
2017-07-30,100
2017-08-06,57
2017-08-13,55
2017-08-20,48
2017-08-27,47
2017-09-03,59
2017-09-10,53
2017-09-17,54
2017-09-24,56
2017-10-01,57
2017-10-08,58
2017-10-15,58
2017-10-22,70
2017-10-29,68
2017-11-05,71
2017-11-12,72
2017-11-19,62
2017-11-26,72
2017-12-03,73
2017-12-10,71
2017-12-17,62
2017-12-24,52
2017-12-31,56
2018-01-07,61
2018-01-14,78
2018-01-21,77
2018-01-28,67
2018-02-04,65
2018-02-11,65
2018-02-18,64
2018-02-25,67
2018-03-04,66
2018-03-11,66
2018-03-18,64
2018-03-25,60
2018-04-01,63
2018-04-08,65
2018-04-15,65
2018-04-22,67
2018-04-29,65
2018-05-06,79
2018-05-13,69
2018-05-20,65
2018-05-27,60
2018-06-03,61
2018-06-10,59
2018-06-17,59
2018-06-24,58
2018-07-01,51
2018-07-08,56
2018-07-15,55
2018-07-22,55
2018-07-29,55
2018-08-05,54
2018-08-12,53
2018-08-19,53
2018-08-26,53
2018-09-02,59
2018-09-09,66
2018-09-16,62
2018-09-23,67
2018-09-30,60
2018-10-07,62
2018-10-14,52
